name,country,state,lat,lon,elev,begin_station,end_station
IGARAPE-ACU NORTH,BR,,-1.067,-47.617,+0057.0,19450514,19450920
BOCAIUVA SOUTHEAST,BR,,-17.2,-43.667,+0828.0,19470406,19470523
OIAPOQUE,BR,,3.814,-51.863,+0020.5,20160704,20190701
BOA VISTA,BR,,2.805,-60.647,+0095.5,20160704,20210120
TARTARUGALZINHO,BR,,1.497,-50.917,+0022.5,20161021,20180405
PORTO GRANDE,BR,,0.7,-51.433,+0078.5,20210817,20210817
BARCELOS,BR,,-0.983,-62.917,+0018.5,20161104,20200107
SOURE,BR,,-0.817,-48.517,+0012.5,20160704,20200219
SALINOPOLIS,BR,,-0.617,-47.35,+0022.5,20160704,20200608
BRAGANCA,BR,,-1.05,-46.783,+0034.5,20160704,20210116
TURIACU,BR,,-1.667,-45.367,+0042.5,20160704,20200324
PRESIDENTE FIGUEIREDO,BR,,-2.056,-60.026,+0093.5,20160704,20201203
URUCARA,BR,,-2.533,-57.75,+0018.5,20160704,20200131
PARINTINS,BR,,-2.639,-56.756,+0036.5,20160704,20200325
CAMETA,BR,,-2.25,-49.5,+0023.5,20160704,20191204
SANTANA,BR,,-2.267,-43.617,+0009.5,20160704,20190506
PREGUICAS,BR,,-2.593,-42.707,+0001.6,20140410,20200320
AUTAZES,BR,,-3.583,-59.129,+0029.5,20160704,20210424
MAUES,BR,,-3.4,-57.667,+0036.5,20160704,20200325
PLACAS,BR,,-3.867,-54.217,+0097.5,20160704,20200308
MEDICILANDIA,BR,,-3.517,-52.967,+0252.5,20160704,20210117
PACAJA,BR,,-3.85,-50.633,+0109.5,20160704,20191204
TUCURUI,BR,,-3.817,-49.683,+0149.5,20160712,20210511
PARAGOMINAS,BR,,-3.017,-47.35,+0102.5,20160704,20201022
CHAPADINHA,BR,,-3.75,-43.35,+0092.5,20160704,20200409
ESPERANTINA,BR,,-3.9,-42.267,+0066.5,20160704,20181120
SOBRAL,BR,,-3.75,-40.35,+0065.5,20160704,20210225
ACARAU,BR,,-3.117,-40.083,+0077.5,20160704,20200220
ITAPIPOCA,BR,,-3.483,-39.583,+0103.5,20160704,20191213
COARI,BR,,-4.1,-63.15,+0044.5,20160704,20200113
ITAITUBA,BR,,-4.283,-56.0,+0014.5,20160704,20200915
RONDON DO PARA,BR,,-4.783,-48.067,+0222.5,20160704,20210317
BURITICUPU,BR,,-4.317,-46.45,+0176.5,20160704,20200425
CAXIAS,BR,,-4.817,-43.35,+0077.5,20160705,20200222
GUARAMIRANGA,BR,,-4.267,-38.933,+0871.5,20160704,20210218
MARABA,BR,,-5.167,-49.383,+0117.5,20160704,20210621
ARAGUATINS,BR,,-5.65,-48.117,+0118.5,20160704,20210126
GRAJAU,BR,,-5.817,-46.167,+0231.5,20160704,20210206
SAO PEDRO DO PIAUI,BR,,-5.917,-42.717,+0288.5,20160704,20191020
CASTELO DO PIAUI,BR,,-5.35,-41.517,+0287.5,20160704,20191109
JAGUARIBE,BR,,-5.905,-38.628,+0185.5,20160704,20200727
MOSSORO,BR,,-5.083,-37.367,+0037.5,20160730,20200402
APODI,BR,,-5.117,-36.717,+0005.5,20160704,20201202
CALCANHAR,BR,,-5.167,-35.483,+0018.5,20160704,20190113
ALVORADA DO GURGUEIA,BR,,-8.45,-43.867,+0271.5,20160704,20210817
SAO JOAO DO PIAUI,BR,,-8.365,-42.251,+0236.5,20110926,20200522
SERRA DE CARAJAS,BR,,-6.083,-50.15,+0720.5,20160704,20191115
ESTREITO,BR,,-6.65,-47.417,+0181.5,20160704,20210514
COLINAS,BR,,-6.033,-44.233,+0180.5,20160704,20210115
OEIRAS,BR,,-6.967,-42.15,+0157.5,20160704,20201215
VALENCA DO PIAUI,BR,,-6.4,-41.733,+0302.5,20160704,20201215
TAUA,BR,,-6.017,-40.283,+0416.5,20160704,20200823
SANTA CRUZ,BR,,-6.233,-36.033,+0238.5,20160704,20191204
CAMARATUBA,BR,,-6.617,-35.133,+0137.5,20160704,20191117
HUMAITA,BR,,-7.55,-63.067,+0073.5,20160916,20201227
APUI,BR,,-7.2,-59.883,+0169.5,20160704,20201123
ARAGUAINA,BR,,-7.267,-48.2,+0227.5,20160704,20210317
BALSAS,BR,,-7.45,-46.033,+0225.5,20160704,20200523
URUCUI,BR,,-7.467,-44.35,+0394.5,20160704,20210223
CAMPOS SALES,BR,,-7.083,-40.367,+0573.5,20140410,20200316
CABACEIRAS,BR,,-7.483,-36.283,+0437.5,20160704,20210205
PORTO WALTER,BR,,-8.267,-72.75,+0205.5,20160704,20201112
MARECHAL THAUMATURGO,BR,,-8.95,-72.787,+0231.5,20160705,20191204
BOCA DO ACRE,BR,,-8.777,-67.332,+0112.5,20160707,20200122
PORTO VELHO,BR,,-8.8,-63.85,+0099.5,20160704,20190921
CONCEICAO DO ARAGUAIA,BR,,-8.283,-49.267,+0181.5,20160704,20210817
PEDRO AFONSO,BR,,-8.967,-48.183,+0190.5,20160704,20210817
GARANHUS,BR,,-8.9,-36.5,+0823.5,20160704,20210817
CARUARU,BR,,-8.233,-35.983,+0551.5,20160704,20210125
PARQUE ESTADUAL CHANDLESS,BR,,-9.367,-69.933,+0207.5,20160704,20210817
ARIQUEMES,BR,,-9.95,-62.967,+0141.5,20160704,20200729
COTRIGUACU,BR,,-9.9,-58.567,+0262.5,20160704,20200405
APIACAS,BR,,-9.567,-57.4,+0221.5,20160704,20210510
ALTA FLORESTA,BR,,-10.067,-56.75,+0295.5,20160704,20200729
CARLINDA,BR,,-9.967,-55.833,+0301.5,20160704,20210107
GUARANTA DO NORTE,BR,,-9.95,-54.883,+0321.5,20160704,20191204
SANTANA DO ARAGUAIA,BR,,-9.333,-50.35,+0169.5,20161008,20210221
UAUA,BR,,-9.833,-39.5,+0454.5,20160704,20210406
PAULO AFONSO,BR,,-9.367,-38.217,+0254.2,20160704,20180129
PAO DE ACUCAR,BR,,-9.767,-37.45,+0020.5,20160704,20200914
NORMANDIA,BR,,3.5,-60.167,+0700.0,19930821,19940707
BOA VISTA,BR,,2.817,-60.65,+0090.0,19740610,20210917
TIRIOS,BR,,2.224,-55.947,+0325.0,19840403,20081112
IAUARETE,BR,,0.608,-69.186,+0105.2,19730101,20151106
MONTE DOURADO,BR,,-0.89,-52.602,+0206.3,20061026,20200214
MACAPA-AEROPORTO,BR,,0.05,-51.067,+0016.0,19430901,20210917
PARI-CACHOEIRA,BR,,-0.167,-69.967,+0115.0,19820105,20150605
TARACUA,BR,,0.067,-68.233,+0105.0,20040709,20040709
OBIDOS,BR,,-1.917,-55.517,+0037.0,19891117,20210725
PARINTINS,BR,,-2.633,-56.733,+0029.0,19730101,20160805
PARNAIBA,BR,,-3.083,-41.783,+0022.0,19760404,20180930
ARACHU,BR,,-2.883,-40.133,+0016.0,19891201,20070417
S.PAULO DE OLIVENCA,BR,,-3.467,-68.95,+0094.0,20010911,20010912
CODAJAS,BR,,-3.833,-62.083,+0049.0,19891117,20210917
MANAUS,BR,,-3.133,-60.017,+0072.0,19330806,20210917
EDUARDO GOMES AERO,BR,,-3.033,-60.05,+0082.0,20201204,20210917
TUCURUI AERO,BR,,-3.767,-49.717,+0253.0,19931113,20130518
SOBRAL,BR,,-3.7,-40.35,+0083.0,19310104,20200322
CARAUARI,BR,,-4.95,-66.9,+0066.0,19730101,20051011
COARI,BR,,-4.083,-63.133,+0046.0,19740610,20160805
PIRIPIRI,BR,,-4.267,-41.783,+0161.0,19950101,20210801
GUARAMIRANGA,BR,,-4.283,-39.0,+0870.0,19380203,20070417
IMPERATRIZ,BR,,-5.533,-47.45,+0131.0,19910927,20210917
IMPERATRIZ,BR,,-5.533,-47.5,+0123.0,19860701,20020410
GRAJAU,BR,,-5.8,-46.45,+0163.0,19380913,20031119
BARRA DO CORDA,BR,,-5.5,-45.267,+0153.0,19310303,20210901
CRATEUS,BR,,-5.167,-40.667,+0299.0,19730102,20180430
NATAL,BR,,-5.767,-35.2,+0045.0,19310104,20190912
SAO FELIX DO XINGU,BR,,-6.633,-51.983,+0150.0,19740610,20210725
FLORIANO,BR,,-6.767,-43.017,+0127.0,19730101,20200320
TAUA,BR,,-6.0,-40.417,+0399.0,19891201,20210724
CARAJAS/MARABA,BR,,-6.117,-50.0,+0618.0,19870117,19890215
IGUATU,BR,,-6.367,-39.3,+0217.0,19310104,20210723
FLORANIA,BR,,-6.117,-36.817,+0324.0,19891201,20070417
